year	countrycode	eeacellcode	classkey	class	specieskey	species	occurrences	mincoordinateuncertaintyinmeters	mintemporaluncertainty	classcount
2024	BE	1kmE3964N3021	359	Mammalia	5218786	Procyon lotor	1	16.0	86400	21001
2024	BE	1kmE3964N3036	359	Mammalia	5218786	Procyon lotor	7	15.0	86400	21001
2024	BE	1kmE3964N3043	359	Mammalia	5218786	Procyon lotor	1	8.0	86400	21001
2024	BE	1kmE3964N3119	359	Mammalia	5218786	Procyon lotor	2	4.0	86400	21001
2024	BE	1kmE3965N2980	359	Mammalia	5218786	Procyon lotor	1	4.0	86400	21001
2024	BE	1kmE3965N2995	359	Mammalia	5218786	Procyon lotor	1	1000.0	86400	21001
2024	BE	1kmE3965N3023	359	Mammalia	5218786	Procyon lotor	1	1000.0	86400	21001
2024	BE	1kmE3965N3037	359	Mammalia	5218786	Procyon lotor	1	8.0	86400	21001
2024	BE	1kmE3965N3045	359	Mammalia	5218786	Procyon lotor	2	1000.0	86400	21001
2024	BE	1kmE3966N2994	359	Mammalia	5218786	Procyon lotor	1	1000.0	86400	21001
2024	BE	1kmE3966N3003	359	Mammalia	5218786	Procyon lotor	1	999.0	86400	21001
2024	BE	1kmE3966N3011	359	Mammalia	5218786	Procyon lotor	1	8.0	86400	21001
2024	BE	1kmE3966N3025	359	Mammalia	5218786	Procyon lotor	1	3.0	86400	21001
2024	BE	1kmE3966N3029	359	Mammalia	5218786	Procyon lotor	3	1.0	86400	21001
2024	BE	1kmE3966N3032	359	Mammalia	5218786	Procyon lotor	1	12.0	86400	21001
2024	BE	1kmE3966N3051	359	Mammalia	5218786	Procyon lotor	1	8.0	86400	21001
2024	BE	1kmE3967N2999	359	Mammalia	5218786	Procyon lotor	1	5.0	86400	21001
2024	BE	1kmE3967N3012	359	Mammalia	5218786	Procyon lotor	1	3.0	86400	21001
2024	BE	1kmE3967N3015	359	Mammalia	5218786	Procyon lotor	1	1000.0	1	21001
2024	BE	1kmE3967N3020	359	Mammalia	5218786	Procyon lotor	1	1000.0	86400	21001
2024	BE	1kmE3967N3044	359	Mammalia	5218786	Procyon lotor	1	999.0	86400	21001
2024	BE	1kmE3968N3010	359	Mammalia	5218786	Procyon lotor	1	999.0	86400	21001
2024	BE	1kmE3968N3013	359	Mammalia	5218786	Procyon lotor	2	4.0	86400	21001
2024	BE	1kmE3968N3043	359	Mammalia	5218786	Procyon lotor	1	49.0	86400	21001
2024	BE	1kmE3968N3044	359	Mammalia	5218786	Procyon lotor	2	4.0	86400	21001
2024	BE	1kmE3968N3050	359	Mammalia	5218786	Procyon lotor	1	1000.0	86400	21001
2024	BE	1kmE3968N3053	359	Mammalia	5218786	Procyon lotor	1	49.0	86400	21001
2024	BE	1kmE3968N3111	359	Mammalia	5218786	Procyon lotor	1	60.0	86400	21001
2024	BE	1kmE3968N3112	359	Mammalia	5218786	Procyon lotor	16	15.0	86400	21001
2024	BE	1kmE3968N3120	359	Mammalia	5218786	Procyon lotor	1	13.0	86400	21001
2024	FR	1kmE3969N2933	359	Mammalia	5218786	Procyon lotor	1	1000.0	86400	21001
2024	BE	1kmE3969N2992	359	Mammalia	5218786	Procyon lotor	1	31.0	86400	21001
2024	BE	1kmE3969N3016	359	Mammalia	5218786	Procyon lotor	1	999.0	86400	21001
2024	BE	1kmE3969N3027	359	Mammalia	5218786	Procyon lotor	1	5.0	86400	21001
2024	BE	1kmE3969N3091	359	Mammalia	5218786	Procyon lotor	1	4.0	86400	21001
2024	BE	1kmE3970N2974	359	Mammalia	5218786	Procyon lotor	1	61.0	86400	21001
2024	BE	1kmE3970N2980	359	Mammalia	5218786	Procyon lotor	1	1000.0	86400	21001
2024	BE	1kmE3970N2981	359	Mammalia	5218786	Procyon lotor	1	1000.0	86400	21001
2024	BE	1kmE3970N3023	359	Mammalia	5218786	Procyon lotor	1	1000.0	86400	21001
2024	BE	1kmE3970N3032	359	Mammalia	5218786	Procyon lotor	1	999.0	86400	21001
2024	BE	1kmE3970N3038	359	Mammalia	5218786	Procyon lotor	1	121.0	86400	21001
2024	BE	1kmE3970N3043	359	Mammalia	5218786	Procyon lotor	1	7.0	86400	21001
2024	FR	1kmE3971N2933	359	Mammalia	5218786	Procyon lotor	1	12.0	86400	21001
2024	BE	1kmE3971N2976	359	Mammalia	5218786	Procyon lotor	1	4.0	86400	21001
2024	BE	1kmE3971N2977	359	Mammalia	5218786	Procyon lotor	1	12.0	86400	21001
2024	BE	1kmE3971N3016	359	Mammalia	5218786	Procyon lotor	2	4.0	86400	21001
2024	BE	1kmE3971N3043	359	Mammalia	5218786	Procyon lotor	1	3.0	1	21001
2024	BE	1kmE3971N3075	359	Mammalia	5218786	Procyon lotor	1	15.0	86400	21001
2024	FR	1kmE3972N2932	359	Mammalia	5218786	Procyon lotor	2	4.0	86400	21001
2024	FR	1kmE3972N2934	359	Mammalia	5218786	Procyon lotor	1	5.0	86400	21001
2024	BE	1kmE3972N2977	359	Mammalia	5218786	Procyon lotor	1	999.0	86400	21001
2024	BE	1kmE3972N3006	359	Mammalia	5218786	Procyon lotor	1	999.0	86400	21001
2024	BE	1kmE3972N3010	359	Mammalia	5218786	Procyon lotor	1	4.0	1	21001
2024	BE	1kmE3972N3014	359	Mammalia	5218786	Procyon lotor	1	1000.0	86400	21001
2024	BE	1kmE3972N3023	359	Mammalia	5218786	Procyon lotor	1	91.0	86400	21001
2024	BE	1kmE3972N3042	359	Mammalia	5218786	Procyon lotor	1	4.0	86400	21001
2024	BE	1kmE3972N3046	359	Mammalia	5218786	Procyon lotor	1	14.0	86400	21001
2024	FR	1kmE3973N2929	359	Mammalia	5218786	Procyon lotor	1	8.0	86400	21001
2024	BE	1kmE3973N2978	359	Mammalia	5218786	Procyon lotor	2	8.0	86400	21001
2024	BE	1kmE3973N3006	359	Mammalia	5218786	Procyon lotor	1	5.0	86400	21001
2024	BE	1kmE3973N3013	359	Mammalia	5218786	Procyon lotor	1	8.0	86400	21001
2024	BE	1kmE3973N3032	359	Mammalia	5218786	Procyon lotor	1	1.0	86400	21001
2024	BE	1kmE3973N3048	359	Mammalia	5218786	Procyon lotor	1	14.0	86400	21001
2024	BE	1kmE3974N2966	359	Mammalia	5218786	Procyon lotor	2	999.0	86400	21001
2024	BE	1kmE3974N2975	359	Mammalia	5218786	Procyon lotor	1	2828.0	86400	21001
2024	BE	1kmE3974N2977	359	Mammalia	5218786	Procyon lotor	1	2828.0	86400	21001
2024	BE	1kmE3974N3013	359	Mammalia	5218786	Procyon lotor	1	49.0	86400	21001
2024	BE	1kmE3974N3025	359	Mammalia	5218786	Procyon lotor	1	6.0	86400	21001
2024	BE	1kmE3975N2978	359	Mammalia	5218786	Procyon lotor	1	2828.0	86400	21001
2024	BE	1kmE3975N3008	359	Mammalia	5218786	Procyon lotor	1	49.0	86400	21001
2024	BE	1kmE3975N3010	359	Mammalia	5218786	Procyon lotor	1	10.0	86400	21001
2024	BE	1kmE3975N3011	359	Mammalia	5218786	Procyon lotor	1	4.0	86400	21001
2024	BE	1kmE3975N3026	359	Mammalia	5218786	Procyon lotor	1	13.0	86400	21001
2024	BE	1kmE3975N3052	359	Mammalia	5218786	Procyon lotor	1	49.0	86400	21001
2024	BE	1kmE3975N3109	359	Mammalia	5218786	Procyon lotor	1	8.0	86400	21001
2024	BE	1kmE3976N3009	359	Mammalia	5218786	Procyon lotor	1	6.0	86400	21001
2024	BE	1kmE3976N3012	359	Mammalia	5218786	Procyon lotor	1	30.0	86400	21001
2024	BE	1kmE3976N3013	359	Mammalia	5218786	Procyon lotor	1	1.0	86400	21001
